battery_power,int_memory,fc,n_cores,ram,talk_time,dual_sim,wifi,pc,mobile_wt,price_range
842,7,1,2,2549,19,0,1,2,188,1
1021,53,0,3,2631,7,1,0,6,136,2
563,41,2,5,2603,9,1,0,6,145,2
615,10,0,6,2769,11,0,0,9,131,2
1821,44,13,2,1411,15,0,0,14,141,1
1859,22,3,1,1067,10,1,0,7,164,1
1821,10,4,8,3220,18,0,1,10,139,3
1954,24,0,4,700,5,1,1,0,187,0
1445,53,0,7,1099,20,0,0,14,174,0
509,9,2,5,513,12,1,0,15,93,0
769,9,0,5,3946,7,1,0,1,182,3
1520,33,5,8,3826,13,0,1,18,177,3
1815,33,2,4,1482,2,0,0,17,159,1
803,17,7,4,2680,4,0,1,11,198,2
1866,52,13,1,373,3,0,1,17,185,0
775,46,3,2,568,11,0,1,16,159,0
838,13,1,8,3554,19,0,1,4,196,3
595,23,7,3,3752,18,1,0,17,121,3
1131,49,11,5,1835,16,1,0,18,101,1
682,19,4,4,2337,18,0,1,11,121,1
772,39,12,7,2819,3,1,0,14,81,3
1709,13,1,2,3283,15,0,0,2,156,3
1949,47,4,4,1433,20,1,1,7,199,1
1602,38,4,3,1037,20,1,0,20,114,0
503,8,5,3,2583,12,1,0,13,111,1
961,57,0,8,2782,7,1,1,3,114,2
519,51,7,4,3763,4,1,1,19,132,3
956,41,1,7,3286,12,0,0,6,143,3
1453,52,12,2,2373,10,1,1,18,96,2
851,21,3,5,478,10,0,1,7,200,0
1579,5,0,7,3532,12,1,1,9,88,3
1568,33,16,8,508,6,0,1,20,150,0
1319,41,3,1,2227,3,0,1,18,107,1
1310,51,0,4,3845,12,1,0,0,100,3
644,22,0,8,1262,15,0,0,3,157,0
725,60,16,8,1326,15,1,0,17,160,1
589,61,1,4,2113,2,1,1,10,160,1
1725,6,6,2,3429,4,1,0,18,119,3
790,11,16,6,3169,2,1,1,17,87,2
560,50,15,2,2150,11,1,0,20,159,2
1347,44,5,1,2484,11,0,1,14,132,2
1646,41,8,2,3339,19,0,0,10,185,3
1253,5,5,2,1878,4,1,0,19,152,1
1656,34,5,3,1629,14,0,0,7,166,1
1195,20,1,2,504,12,0,0,14,110,0
1514,27,0,3,1152,20,0,1,1,118,1
1723,42,1,8,3587,3,1,0,14,164,3
1054,40,3,7,2296,12,1,1,10,196,1
578,57,2,8,1270,5,1,1,8,162,0
596,64,9,8,3238,10,1,0,15,111,3
1547,14,2,3,2059,15,1,1,19,198,2
1760,63,5,8,2053,16,1,0,19,127,2
1654,43,0,2,3112,10,1,0,0,109,3
1457,16,1,3,1440,12,1,1,10,102,1
1073,51,0,7,2908,18,1,0,0,145,2
1936,46,10,3,2552,13,1,0,20,104,2
